index,Restaurant,Meal Type,Protein,Fibre,Starch,Calories per 100,total weight,Total Calories,price,Satisfaction Index
0,EH166RR,Battered haggis supper (including chips),5.66,2.9,24.26,234.0,267.0,624.78,6.75,0.14025641025641028
1,EH217AD,Battered haggis supper (including chips),5.73,3.4,22.13,219.0,458.3,1003.677,6.0,0.14273972602739726
2,EH548PT,Battered haggis supper (including chips),5.64,3.0,24.62,222.0,672.3,1492.506,7.5,0.14981981981981982
3,G445EH,Battered haggis supper (including chips),5.48,3.4,30.93,251.0,523.1,1312.981,10.74,0.15860557768924305
4,G131HJ,Battered haggis supper (including chips),6.33,2.5,28.03,261.0,644.2,1681.362,8.48,0.14122605363984675
5,G537DA,Battered haggis supper (including chips),6.93,3.0,26.68,258.0,567.8,1464.924,6.9,0.14189922480620154
6,G727FB,Battered haggis supper (including chips),6.35,3.0,28.54,246.0,562.2,1383.0120000000002,7.7,0.15402439024390244
7,EH530AA,Battered haggis supper (including chips),5.11,2.8,26.66,214.0,611.1,1307.754,6.1,0.1615420560747664
8,EH268NP,Battered haggis supper (including chips),5.88,2.4,24.81,238.0,487.0,1159.06,6.9,0.13903361344537815
9,EH152AT,Battered haggis supper (including chips),6.88,2.7,24.69,250.0,446.4,1116.0,6.5,0.13708
10,G659AJ,Battered haggis supper (including chips),4.87,2.7,26.59,227.0,542.2,1230.794,5.5,0.15048458149779734
11,G226EN,Battered haggis supper (including chips),5.54,2.6,22.03,216.0,622.7,1345.0320000000002,7.55,0.13967592592592593
12,EH166RR,Battered pizza,5.52,2.2,35.7,350.0,603.9,2113.65,3.5,0.12405714285714284
13,EH217AD,Battered pizza,5.54,2.1,37.73,292.0,602.3,1758.7159999999997,4.9,0.15537671232876715
14,EH548PT,Battered pizza,4.91,2.1,39.84,290.0,264.7,767.63,4.8,0.16155172413793104
15,G444RX,Battered pizza,5.98,2.9,39.66,377.0,319.4,1204.138,7.36,0.12875331564986736
16,G131HJ,Battered pizza,5.32,2.2,38.39,298.0,547.0,1630.06,6.78,0.15406040268456378
17,G537DA,Battered pizza,5.86,2.6,39.53,305.0,408.2,1245.01,5.0,0.15734426229508197
18,G727FB,Battered pizza,7.25,2.4,40.71,284.0,496.3,1409.4920000000002,7.8,0.1773239436619718
19,EH530AA,Battered pizza,7.56,1.9,42.01,321.0,190.6,611.826,3.6,0.16034267912772585
20,EH268NP,Battered pizza,8.02,2.8,35.74,355.0,135.3,480.31500000000005,3.2,0.1311549295774648
21,EH152AT,Battered pizza,5.36,2.9,38.54,300.0,231.6,694.8,3.9,0.156
22,G659AJ,Battered pizza,5.09,2.5,35.91,304.0,601.9,1829.776,4.5,0.14309210526315788
23,G226EN,Battered pizza,6.81,2.1,35.11,409.0,438.7,1794.283,7.9,0.10762836185819069
24,EH166RR,Battered sausage supper (including chips),5.78,2.3,25.17,248.0,102.5,254.2,7.0,0.13407258064516128
25,EH217AD,Battered sausage supper (including chips),6.91,2.4,22.01,235.0,540.4,1269.94,6.5,0.13327659574468084
26,EH548PT,Battered sausage supper (including chips),5.41,2.5,25.93,242.0,657.7,1591.6340000000002,7.5,0.13983471074380166
27,G445EH,Battered sausage supper (including chips),4.85,3.2,28.09,248.0,375.5,931.24,9.07,0.1457258064516129
28,G131HJ,Battered sausage supper (including chips),6.77,2.5,29.17,266.0,493.0,1311.38,8.48,0.14451127819548867
29,G537DA,Battered sausage supper (including chips),6.82,2.5,27.08,288.0,446.1,1284.768,6.8,0.12638888888888888
30,G727FB,Battered sausage supper (including chips),5.86,3.2,28.35,244.0,291.6,711.5040000000001,6.0,0.15331967213114756
31,EH530AA,Battered sausage supper (including chips),7.12,2.3,25.17,247.0,571.9,1412.5929999999998,6.5,0.14004048582995954
32,EH268NP,Battered sausage supper (including chips),4.96,2.2,26.54,233.0,613.9,1430.3869999999995,7.2,0.14463519313304726
33,EH152AT,Battered sausage supper (including chips),7.63,2.4,22.25,247.0,544.9,1345.9029999999998,7.0,0.13068825910931176
34,G659AJ,Battered sausage supper (including chips),6.84,1.9,21.67,249.0,476.1,1185.489,5.5,0.12212851405622491
35,G226EN,Battered sausage supper (including chips),4.6,2.3,24.17,226.0,416.5,941.29,5.5,0.13747787610619472
36,EH165BS,Cheesecake,5.03,2.4,13.88,483.0,454.6,2195.7180000000003,8.2,0.04412008281573499
37,EH217AH,Cheesecake,5.28,0.3,8.39,298.0,212.1,632.058,6.2,0.046879194630872485
38,EH546QT,Cheesecake,4.29,0.5,16.53,394.0,124.0,488.56,4.0,0.054111675126903555
39,G445TE,Cheesecake,7.71,0.0,13.25,289.0,117.8,340.44199999999995,7.0,0.07252595155709343
40,G732HD,Cheesecake,4.15,0.5,14.55,361.0,142.6,514.786,5.06,0.05318559556786705
41,G323BP,Cheesecake,5.16,1.5,20.88,408.0,93.7,382.296,6.82,0.0675
42,G726PE,Cheesecake,4.41,0.9,20.49,397.0,85.4,339.038,5.0,0.06498740554156171
43,EH530AN,Cheesecake,3.56,0.5,23.4,397.0,156.3,620.5110000000001,8.0,0.06916876574307304
44,EH268NP,Cheesecake,4.05,1.6,15.81,386.0,176.9,682.8340000000001,5.5,0.055595854922279794
45,EH151DA,Cheesecake,4.3,0.6,18.79,419.0,120.2,503.638,6.7,0.05653937947494033
46,G650AL,Cheesecake,4.59,0.6,22.72,399.0,110.8,442.092,7.0,0.06994987468671678
47,G226EN,Cheesecake,5.24,0.8,21.06,337.0,117.0,394.29,3.45,0.0804154302670623
48,EH165RL,Children’s portion of cheeseburger and chips,12.4,2.8,26.74,281.0,301.6,847.4960000000001,6.0,0.14925266903914589
49,EH217AD,Children’s portion of cheeseburger and chips,4.44,2.0,24.56,246.0,305.6,751.7760000000001,4.5,0.12601626016260162
50,EH548PT,Children’s portion of cheeseburger and chips,7.74,2.1,24.19,244.0,477.9,1166.076,5.4,0.1394672131147541
51,G445EH,Children’s portion of cheeseburger and chips,10.27,2.1,26.54,278.0,248.5,690.83,5.86,0.1399640287769784
52,G131HJ,Children’s portion of cheeseburger and chips,6.64,2.2,30.29,238.0,493.6,1174.768,7.08,0.1644117647058823
53,G537DA,Children’s portion of cheeseburger and chips,8.48,3.7,25.73,336.0,317.3,1066.128,4.45,0.11282738095238096
54,G727FB,Children’s portion of cheeseburger and chips,9.96,2.4,28.67,263.0,390.8,1027.804,6.0,0.15600760456273763
55,EH530AA,Children’s portion of cheeseburger and chips,7.78,2.0,22.06,230.0,427.3,982.79,4.7,0.13843478260869563
56,EH268NP,Children’s portion of cheeseburger and chips,4.79,2.2,24.31,227.0,453.2,1028.764,6.9,0.1378854625550661
57,EH152AT,Children’s portion of cheeseburger and chips,6.34,1.3,24.36,294.0,287.4,844.9559999999999,4.5,0.10884353741496598
58,G659AJ,Children’s portion of cheeseburger and chips,7.46,2.5,27.3,241.0,366.6,883.5060000000001,4.5,0.15460580912863073
59,G226EN,Children’s portion of cheeseburger and chips,9.41,2.4,24.03,249.0,394.0,981.06,6.95,0.14393574297188758
